date,personnel,Temp(℃),preci(mm),hum(%rh),wind(m/s),covid,covid_dead,day
2019-01-01,132123,-5,0,49.5,2.1,0,0,화
2019-01-02,159168,-4.9,0,42.8,1.7,0,0,수
2019-01-03,162184,-3.5,0,38.8,1.4,0,0,목
2019-01-04,186827,-1.1,0,55.5,1.2,0,0,금
2019-01-05,198972,-2.8,0,40.3,2.2,0,0,토
2019-01-06,141065,-2.8,0,35,1.2,0,0,일
2019-01-07,150444,-1.9,0,46.4,1.4,0,0,월
2019-01-08,154978,-3.5,0,31,2.6,0,0,화
2019-01-09,151296,-4.7,0,28.8,1.3,0,0,수
2019-01-10,157911,-0.6,0,48.8,1.3,0,0,목
2019-01-11,178568,2.4,0,58.8,1,0,0,금
2019-01-12,202188,2.8,0,47.6,1.3,0,0,토
2019-01-13,145713,1.2,0,54.3,1.4,0,0,일
2019-01-14,145755,1.4,0,68.6,0.9,0,0,월
2019-01-15,151218,-1.7,0,58.8,2.7,0,0,화
2019-01-16,157816,-5.2,0,45.9,2.3,0,0,수
2019-01-17,161670,-0.3,0,45.8,1.7,0,0,목
2019-01-18,180145,0.6,0,44,1.3,0,0,금
2019-01-19,200074,3.6,0,59.8,1.2,0,0,토
2019-01-20,147279,-1.4,0,38.5,3.2,0,0,일
2019-01-21,146738,-1.2,0,57.8,1.6,0,0,월
2019-01-22,155576,1.7,0,62,1.7,0,0,화
2019-01-23,161868,2,0,48.9,2.3,0,0,수
2019-01-24,167574,0.1,0,34.9,1.7,0,0,목
2019-01-25,191853,-1.2,0,27.6,2.6,0,0,금
2019-01-26,215695,-2.5,0,30.9,2.4,0,0,토
2019-01-27,158181,-0.1,0,52.5,1.7,0,0,일
2019-01-28,157253,1.2,0,40.4,3.1,0,0,월
2019-01-29,155757,-0.2,0,35.5,1.5,0,0,화
2019-01-30,155955,1.8,0,54.6,1.5,0,0,수
2019-01-31,153972,-2,0,29,2.9,0,0,목
2019-02-01,166328,-2.1,0.3,47.6,1.7,0,0,금
2019-02-02,157731,1.4,0,60,1,0,0,토
2019-02-03,102393,3.3,16,92.9,1.7,0,0,일
2019-02-04,88185,-0.6,0,40.4,2.1,0,0,월
